stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,vehicle_type
1:PEABBE,,Abbé Pierre,,42.69090170,2.87551780,,,1,,0,
1:CAABRI,,Abricotiers,,42.65329740,2.83498310,,,1,,0,
1:LSAGLY,,Agly,,42.76694100,2.98703150,,,1,,0,
1:TOALBE,,Albères,,42.66651820,2.83232780,,,1,,0,
1:CNALIZ,,Alizés,,42.70296860,3.02272010,,,1,,0,
1:ESALOE,,Aloès,,42.70750430,2.83560040,,,1,,0,
1:MAALOE,,Aloès,,42.73410020,3.02924320,,,1,,0,
1:PEAMAR,,Amarell,,42.69587880,2.93053470,,,1,,0,
1:CYAMPE,,Ampère,,42.68876320,2.91990670,,,1,,0,
1:LBANNI,,Annibal,,42.80569070,3.03727690,,,1,,0,
1:LSANNI,,Annibal,,42.77181400,3.00663790,,,1,,0,
1:BOARAG,,Arago,,42.73363930,2.93391780,,,1,,0,
1:ESARAG,,Arago,,42.70872310,2.84362070,,,1,,0,
1:PEARAG,,Arago,,42.69855120,2.89220120,,,1,,0,
1:LSARAM,,Aramon,,42.77605820,2.98341050,,,1,,0,
1:POARBO,,Arbousiers,,42.64592430,2.87044130,,,1,,0,
1:PEARCA,,Arcades,,42.67880240,2.88130880,,,1,,0,
1:PEARCH,,Archers,,42.69493860,2.89292230,,,1,,0,
1:PEARDE,,Ardennes,,42.68754240,2.89990650,,,1,,0,
1:RIARNA,,Arnaud de Villeneuve,,42.76858700,2.87663940,,,1,,0,
1:CGARQU,,Arque,,42.74560990,2.62622000,,,1,,0,
1:PEAREN,,Arène,,42.68941430,2.89294260,,,1,,0,
1:PEARGE,,Avenue d'Argelès,,42.67864320,2.91219930,,,1,,0,
1:POAVEN,,Avenue du Roussi,,42.64111510,2.87432550,,,1,,0,
1:CNAVEN,,Avenue du Roussillon,,42.69785300,3.03064700,,,1,,0,
1:PEAVIA,,Aviateurs,,42.68481450,2.88918070,,,1,,0,
1:LSAVIA,,Aviation,,42.77476850,2.99008450,,,1,,0,
1:PEAERD,,Aérodrome,,42.72405620,2.88268790,,,1,,0,
1:PEAERO,,Aéroport,,42.74085620,2.86704180,,,1,,0,
1:PEBACC,,Bacchus,,42.68734140,2.88720840,,,1,,0,
1:PEBADA,,Badalona,,42.66560740,2.87888990,,,1,,0,
1:BABAHO,,Baho,,42.70143320,2.82501700,,,1,,0,
1:PEBAIL,,Baillat,,42.67210580,2.89065770,,,1,,0,
1:PEBAIY,,Baillaury,,42.67863840,2.90812720,,,1,,0,
1:TRBAIX,,Baixarade,,42.75305360,2.99227050,,,1,,0,
1:BXBAIX,,Baixas,,42.75346260,2.81707590,,,1,,0,
1:ESBAIX,,Baixas,,42.71809240,2.84140150,,,1,,0,
1:BXSTAD,,Baixas - Stade,,42.75413450,2.81399110,,,1,,0,
1:CYBAJO,,Bajoles,,42.68076300,2.94495300,,,1,,0,
1:TOBALT,,Baltaza,,42.66504470,2.83228430,,,1,,0,
1:PEBARA,,Barande,,42.71088640,2.89011510,,,1,,0,
1:PEBARC,,Barcarolles,,42.68807090,2.90805500,,,1,,0,
1:PEBARR,,Barrère,,42.67842860,2.89152150,,,1,,0,
1:PEBAV1,,Bas Vernet 1,,42.70571140,2.88076700,,,1,,0,
1:PEBAV3,,Bas Vernet 3,,42.70623970,2.87784830,,,1,,0,
1:PEBAV4,,Bas Vernet 4,,42.70296480,2.87856590,,,1,,0,
1:PEBATE,,Batère,,42.68479910,2.90526390,,,1,,0,
1:CYBECQ,,Becquerel,,42.68989930,2.92409660,,,1,,0,
1:PEBELF,,Belfort,,42.68895400,2.88123610,,,1,,0,
1:PEBERT,,Berta,,42.72717240,2.90123800,,,1,,0,
1:CNBFM2,,BFM,,42.68352310,3.03432930,,,1,,0,
1:PEBOIS,,Bois des Pins,,42.65983950,2.88435030,,,1,,0,
1:BONORD,,Bompas Nord,,42.73527200,2.93899200,,,1,,0,
1:PEBONS,,Bon Secours,,42.69179530,2.88329360,,,1,,0,
1:PEBOUC,,Boucher,,42.69639390,2.90720390,,,1,,0,
1:PEBOUR,,Bourrat,,42.70116420,2.90107330,,,1,,0,
1:PEBOUS,,Boussiron,,42.69734200,2.92926300,,,1,,0,
1:PEBRET,,Bretonneau,,42.66554830,2.88660070,,,1,,0,
